23245.000000	 28256.000000	 28930.000000	 30264.000000
31787.000000	 33806.000000	 34218.000000	 35819.000000
37333.000000	 42338.000000	 42868.000000	 44351.000000
45865.000000	 51878.000000	 52511.000000	 53882.000000
55391.000000	 59406.000000	 59866.000000	 61414.000000
62924.000000	 66936.000000	 67338.000000	 68938.000000
70443.000000	 75451.000000	 75796.000000	 77468.000000
78982.000000	 80993.000000	 81444.000000	 83009.000000
84519.000000	 86532.000000	 86872.000000	 88544.000000
90057.000000	 95064.000000	 95443.000000	 97074.000000
98589.000000	 102598.000000	 102930.000000	 104607.000000
106111.000000	 112116.000000	 112694.000000	 114123.000000
115632.000000	 119636.000000	 120006.000000	 121641.000000
123160.000000	 129163.000000	 129598.000000	 131182.000000
132696.000000	 138698.000000	 139103.000000	 140711.000000
142225.000000	 148229.000000	 148686.000000	 150237.000000
151743.000000	 154747.000000	 155237.000000	 156751.000000
158265.000000	 161269.000000	 161671.000000	 163284.000000
164795.000000	 168809.000000	 169148.000000	 170818.000000
172328.000000	 177341.000000	 178291.000000	 179351.000000
180869.000000	 183879.000000	 184343.000000	 185887.000000
187403.000000	 190407.000000	 190907.000000	 192411.000000
193920.000000	 195937.000000	 196557.000000	 197945.000000
199448.000000	 205469.000000	 205789.000000	 207476.000000
208996.000000	 210999.000000	 211529.000000	 213016.000000
214527.000000	 220531.000000	 220851.000000	 222551.000000
224057.000000	 227073.000000	 227399.000000	 229085.000000
230594.000000	 232605.000000	 233016.000000	 234609.000000
236124.000000	 242145.000000	 242715.000000	 244155.000000
245664.000000	 247679.000000	 248286.000000	 249690.000000
251267.000000	 257278.000000	 257791.000000	 259286.000000
260795.000000	 262812.000000	 263282.000000	 264820.000000
266325.000000	 268337.000000	 268707.000000	 270347.000000
271861.000000	 275869.000000	 276207.000000	 277879.000000
279396.000000	 285400.000000	 286195.000000	 287418.000000
288926.000000	 292939.000000	 293352.000000	 294948.000000
296464.000000	 298472.000000	 298907.000000	 300489.000000
301999.000000	 307003.000000	 308218.000000	 309023.000000
310531.000000	 313542.000000	 314429.000000	 315560.000000
317074.000000	 320081.000000	 321311.000000	 322093.000000
323602.000000	 327615.000000	 328361.000000	 329622.000000
331126.000000	 337147.000000	 337550.000000	 339162.000000
340677.000000	 342680.000000	 343290.000000	 344683.000000
346192.000000	 351200.000000	 351540.000000	 353217.000000
354724.000000	 358737.000000	 359284.000000	 360753.000000
362263.000000	 365276.000000	 365616.000000	 367284.000000
368795.000000	 372804.000000	 373179.000000	 374820.000000
376339.000000	 379348.000000	 380138.000000	 381361.000000
382875.000000	 386894.000000	 387257.000000	 388909.000000
390418.000000	 392429.000000	 393086.000000	 394450.000000
395956.000000	 398970.000000	 399340.000000	 400986.000000
402492.000000	 404511.000000	 405041.000000	 406515.000000
408031.000000	 414039.000000	 414566.000000	 416047.000000
417550.000000	 422560.000000	 422895.000000	 424569.000000
426079.000000	 430093.000000	 430937.000000	 432107.000000
433616.000000	 438623.000000	 438921.000000	 440634.000000
442138.000000	 445142.000000	 445212.000000	 447162.000000
448677.000000	 450686.000000	 451671.000000	 452700.000000
454206.000000	 458214.000000	 458604.000000	 460219.000000
461728.000000	 467731.000000	 468201.000000	 469750.000000
471262.000000	 474275.000000	 474718.000000	 476282.000000
477793.000000	 482806.000000	 483177.000000	 484818.000000
486334.000000	 489344.000000	 489773.000000	 491356.000000
492869.000000	 496873.000000	 497919.000000	 498891.000000
500406.000000	 502417.000000	 503315.000000	 504425.000000
505940.000000	 510947.000000	 511302.000000	 512962.000000
514476.000000	 519495.000000	 520104.000000	 521503.000000
523008.000000	 529011.000000	 529323.000000	 531029.000000
532538.000000	 538545.000000	 539290.000000	 540557.000000
542074.000000	 547093.000000	 547534.000000	 549107.000000
550622.000000	 555624.000000	 556029.000000	 557635.000000
559153.000000	 565156.000000	 565607.000000	 567174.000000
568681.000000	 573686.000000	 574092.000000	 575688.000000
577205.000000	 581210.000000	 581713.000000	 583218.000000
584724.000000	 586737.000000	 587157.000000	 588749.000000
590265.000000	 593270.000000	 593950.000000	 595281.000000
596790.000000	 599808.000000	 600690.000000	 601820.000000
603335.000000	 607341.000000	 608293.000000	 609355.000000
610870.000000	 615874.000000	 616570.000000	 617890.000000
619399.000000	 622408.000000	 623194.000000	 624418.000000
